source,destination,distance
City330,City331,712
City331,City332,831
City332,City333,891
City333,City334,685
City334,City335,753
City335,City336,257
City336,City337,336
City337,City338,817
City338,City339,625
City339,City340,115
City340,City341,298
City341,City342,203
City342,City343,231
City343,City344,402
City344,City345,594
City345,City346,393
City346,City347,73
City347,City348,222
City348,City349,335
City349,City350,980
City350,City351,273
City351,City352,882
City352,City353,649
City353,City354,938
City354,City355,998
City355,City356,886
City356,City357,643
City357,City358,756
City358,City359,890
City359,City360,248
City360,City361,635
City361,City362,768
City362,City363,675
City363,City364,1
City364,City365,223
City365,City366,745
City366,City367,561
City367,City368,395
City368,City369,37
City369,City370,658
City370,City371,707
City371,City372,184
City372,City373,454
City373,City374,338
City374,City375,998
City375,City376,982
City376,City377,113
City377,City378,720
City378,City379,603
City379,City380,327
City380,City381,328
City381,City382,184
City382,City383,963
City383,City384,621
City384,City385,921
City385,City386,438
City386,City387,497
City387,City388,955
City388,City389,811
City389,City390,111
City390,City391,405
City391,City392,270
City392,City393,83
City393,City394,600
City394,City395,649
City395,City396,170
City396,City397,594
City397,City398,822
City398,City399,617
City399,City400,257
City400,City401,596
City401,City402,604
City402,City403,820
City403,City404,174
City404,City405,248
City405,City406,930
City406,City407,785
City407,City408,960
City408,City409,215
City409,City410,226
City410,City411,456
City411,City412,410
City412,City413,515
City413,City414,279
City414,City415,471
City415,City416,311
City416,City417,606
City417,City418,86
City418,City419,421
City419,City420,899
City420,City421,867
City421,City422,310
City422,City423,574
City423,City424,108
City424,City425,692
City425,City426,4
City426,City427,380
City427,City428,303
City428,City429,746
City429,City430,311
City430,City431,686
City431,City432,535
City432,City433,323
City433,City434,11
City434,City435,368
City435,City436,713
City436,City437,715
City437,City438,969
City438,City439,78
City439,City440,827
City440,City441,625
City441,City442,35
City442,City443,670
City443,City444,586
City444,City445,428
City445,City446,564
City446,City447,753
City447,City448,883
City448,City449,803
City449,City450,78
City450,City451,726
City451,City452,745
City452,City453,326
City453,City454,318
City454,City455,76
City455,City456,261
City456,City457,596
City457,City458,921
City458,City459,801
City459,City460,52
City460,City461,185
City461,City462,498
City462,City463,803
City463,City464,858
City464,City465,892
City465,City466,452
City466,City467,226
City467,City468,164
City468,City469,587
City469,City470,361
City470,City471,409
City471,City472,75
City472,City473,411
City473,City474,381
City474,City475,215
City475,City476,373
City476,City477,63
City477,City478,709
City478,City479,126
City479,City480,213
City480,City481,724
City481,City482,529
City482,City483,536
City483,City484,538
City484,City485,968
City485,City486,257
City486,City487,664
City487,City488,301
City488,City489,69
City489,City490,947
City490,City491,276
City491,City492,397
City492,City493,933
City493,City494,282
City494,City495,165
City495,City496,389
City496,City497,131
City497,City498,818
City498,City499,136
City499,City500,980
City500,City501,836
City501,City502,560
City502,City503,565
City503,City504,181
City504,City505,720
City505,City506,231
City506,City507,617
City507,City508,781
City508,City509,145
City509,City510,157
City510,City511,106
City511,City512,377
City512,City513,255
City513,City514,948
City514,City515,358
City515,City516,818
City516,City517,533
City517,City518,508
City518,City519,88
City519,City520,169
City520,City521,523
City521,City522,797
City522,City523,753
City523,City524,189
City524,City525,529
City525,City526,611
City526,City527,31
City527,City528,772
City528,City529,597
City529,City530,154
City530,City531,36
City531,City532,821
City532,City533,746
City533,City534,569
City534,City535,262
City535,City536,811
City536,City537,701
City537,City538,819
City538,City539,438
City539,City540,822
City540,City541,916
City541,City542,208
City542,City543,416
City543,City544,556
City544,City545,694
City545,City546,810
City546,City547,582
City547,City548,373
City548,City549,281
City549,City550,915
City550,City551,208
City551,City552,140
City552,City553,340
City553,City554,628
City554,City555,980
City555,City556,425
City556,City557,649
City557,City558,480
City558,City559,102
City559,City560,283
City560,City561,510
City561,City562,376
City562,City563,988
City563,City564,451
City564,City565,57
City565,City566,343
City566,City567,105
City567,City568,460
City568,City569,246
City569,City570,853
City570,City571,580
City571,City572,838
City572,City573,46
City573,City574,817
City574,City575,12
City575,City576,17
City576,City577,293
City577,City578,416
City578,City579,634
City579,City580,439
City580,City581,888
City581,City582,298
City582,City583,835
City583,City584,538
City584,City585,98
City585,City586,683
City586,City587,216
City587,City588,957
City588,City589,282
City589,City590,583
City590,City591,780
City591,City592,807
City592,City593,74
City593,City594,535
City594,City595,34
City595,City596,641
City596,City597,246
City597,City598,520
City598,City599,769
City599,City600,57
City600,City601,510
City601,City602,290
City602,City603,965
City603,City604,511
City604,City605,466
City605,City606,126
City606,City607,162
City607,City608,653
City608,City609,626
City609,City610,609
City610,City611,999
City611,City612,115
City612,City613,319
City613,City614,502
City614,City615,781
City615,City616,584
City616,City617,833
City617,City618,839
City618,City619,11
City619,City620,989
City620,City621,454
City621,City622,819
City622,City623,688
City623,City624,499
City624,City625,268
City625,City626,803
City626,City627,355
City627,City628,205
City628,City629,803
City629,City630,55
City630,City631,178
City631,City632,680
City632,City633,130
City633,City634,526
City634,City635,870
City635,City636,950
City636,City637,564
City637,City638,890
City638,City639,79
City639,City640,930
City640,City641,631
City641,City642,594
City642,City643,265
City643,City644,822
City644,City645,329
City645,City646,969
City646,City647,739
City647,City648,57
City648,City649,974
City649,City650,363
City650,City651,584
City651,City652,124
City652,City653,931
City653,City654,920
City654,City655,763
City655,City656,611
City656,City657,209
City657,City658,353
City658,City659,548
City659,City660,737
City660,City661,358
City661,City662,376
City662,City663,89
City663,City664,572
City664,City665,157
City665,City666,700
City666,City667,699
City667,City668,751
City668,City669,720
City669,City670,513
City670,City671,479
City671,City672,342
City672,City673,480
City673,City674,798
City674,City675,788
City675,City676,84
City676,City677,482
City677,City678,448
City678,City679,960
City679,City680,377
City680,City681,77
City681,City682,108
City682,City683,514
City683,City684,975
City684,City685,107
City685,City686,66
City686,City687,491
City687,City688,244
City688,City689,92
City689,City690,181
City690,City691,951
City691,City692,490
City692,City693,922
City693,City694,95
City694,City695,17
City695,City696,145
City696,City697,173
City697,City698,825
City698,City699,864
City699,City700,478
City700,City701,491
City701,City702,759
City702,City703,580
City703,City704,100
City704,City705,434
City705,City706,482
City706,City707,908
City707,City708,297
City708,City709,22
City709,City710,407
City710,City711,768
City711,City712,740
City712,City713,834
City713,City714,846
City714,City715,38
City715,City716,546
City716,City717,172
City717,City718,429
City718,City719,788
City719,City720,328
City720,City721,114
City721,City722,250
City722,City723,977
City723,City724,251
City724,City725,147
City725,City726,343
City726,City727,743
City727,City728,835
City728,City729,44
City729,City730,672
City730,City731,888
City731,City732,70
City732,City733,783
City733,City734,824
City734,City735,93
City735,City736,553
City736,City737,273
City737,City738,745
City738,City739,557
City739,City740,473
City740,City741,681
City741,City742,747
City742,City743,872
City743,City744,207
City744,City745,864
City745,City746,404
City746,City747,409
City747,City748,361
City748,City749,873
City749,City750,61
City750,City751,121
City751,City752,526
City752,City753,991
City753,City754,581
City754,City755,37
City755,City756,2
City756,City757,301
City757,City758,670
City758,City759,750
City759,City760,511
City760,City761,398
City761,City762,893
City762,City763,729
City763,City764,540
City764,City765,738
City765,City766,848
City766,City767,579
City767,City768,327
City768,City769,297
City769,City770,96
City770,City771,771
City771,City772,431
City772,City773,215
City773,City774,982
City774,City775,564
City775,City776,957
City776,City777,556
City777,City778,170
City778,City779,341
City779,City780,720
City780,City781,255
City781,City782,598
City782,City783,702
City783,City784,295
City784,City785,846
City785,City786,473
City786,City787,217
City787,City788,689
City788,City789,957
City789,City790,799
City790,City791,19
City791,City792,512
City792,City793,688
City793,City794,438
City794,City795,670
City795,City796,964
City796,City797,543
City797,City798,267
City798,City799,164
City799,City800,308
City800,City801,269
City801,City802,547
City802,City803,58
City803,City804,40
City804,City805,469
City805,City806,446
City806,City807,662
City807,City808,962
City808,City809,282
City809,City810,341
City810,City811,695
City811,City812,514
City812,City813,72
City813,City814,716
City814,City815,40
City815,City816,9
City816,City817,476
City817,City818,323
City818,City819,672
City819,City820,669
City820,City821,397
City821,City822,598
City822,City823,441
City823,City824,2
City824,City825,726
City825,City826,548
City826,City827,434
City827,City828,986
City828,City829,954
City829,City830,181
City830,City831,268
City831,City832,692
City832,City833,282
City833,City834,381
City834,City835,557
City835,City836,128
City836,City837,53
City837,City838,69
City838,City839,237
City839,City840,194
City840,City841,237
City841,City842,777
City842,City843,651
City843,City844,949
City844,City845,754
City845,City846,995
City846,City847,138
City847,City848,222
City848,City849,981
City849,City850,110
City850,City851,125
City851,City852,265
City852,City853,275
City853,City854,375
City854,City855,364
City855,City856,66
City856,City857,516
City857,City858,878
City858,City859,819
City859,City860,914
City860,City861,567
City861,City862,634
City862,City863,437
City863,City864,761
City864,City865,900
City865,City866,98
City866,City867,818
City867,City868,146
City868,City869,837
City869,City870,353
City870,City871,402
City871,City872,122
City872,City873,842
City873,City874,713
City874,City875,781
City875,City876,282
City876,City877,799
City877,City878,703
City878,City879,240
City879,City880,653
City880,City881,532
City881,City882,831
City882,City883,558
City883,City884,755
City884,City885,914
City885,City886,974
City886,City887,169
City887,City888,243
City888,City889,93
City889,City890,14
City890,City891,243
City891,City892,215
City892,City893,162
City893,City894,23
City894,City895,454
City895,City896,801
City896,City897,70
City897,City898,623
City898,City899,547
City899,City900,228
City900,City901,8
City901,City902,396
City902,City903,211
City903,City904,93
City904,City905,412
City905,City906,729
City906,City907,248
City907,City908,424
City908,City909,685
City909,City910,821
City910,City911,575
City911,City912,887
City912,City913,103
City913,City914,825
City914,City915,709
City915,City916,61
City916,City917,342
City917,City918,847
City918,City919,267
City919,City920,217
City920,City921,774
City921,City922,232
City922,City923,471
City923,City924,422
City924,City925,728
City925,City926,526
City926,City927,176
City927,City928,727
City928,City929,653
City929,City930,560
City930,City931,446
City931,City932,624
City932,City933,930
City933,City934,820
City934,City935,787
City935,City936,839
City936,City937,744
City937,City938,222
City938,City939,554
City939,City940,10
City940,City941,247
City941,City942,279
City942,City943,347
City943,City944,98
City944,City945,383
City945,City946,473
City946,City947,760
City947,City948,172
City948,City949,915
City949,City950,982
City950,City951,487
City951,City952,1
City952,City953,2
City953,City954,553
City954,City955,955
City955,City956,323
City956,City957,203
City957,City958,204
City958,City959,425
City959,City960,968
City960,City961,716
City961,City962,432
City962,City963,365
City963,City964,371
City964,City965,815
City965,City966,395
City966,City967,903
City967,City968,389
City968,City969,82
City969,City970,20
City970,City971,886
City971,City972,163
City972,City973,346
City973,City974,722
City974,City975,318
City975,City976,673
City976,City977,963
City977,City978,82
City978,City979,361
City979,City980,380
City980,City981,189
City981,City982,751
City982,City983,584
City983,City984,621
City984,City985,606
City985,City986,428
City986,City987,347
City987,City988,562
City988,City989,977
City989,City990,709
City990,City991,197
City991,City992,190
City992,City993,465
City993,City994,844
City994,City995,85
City995,City996,41
City996,City997,668
City997,City998,623
City998,City999,634
City999,City1000,42
City830,City430,831
City800,City416,498
City111,City720,933
City425,City733,945
City625,City263,26
City843,City470,734
City875,City694,493
City238,City319,335
City677,City623,530
City773,City379,75
City737,City938,759
City561,City459,669
City358,City284,975
City380,City33,298
City280,City950,482
City744,City778,151
City38,City451,999
City77,City627,873
City979,City15,263
City718,City896,285
City522,City162,879
City210,City258,424
City772,City174,793
City106,City988,656
City301,City208,214
City513,City11,375
City779,City411,401
City478,City931,321
City991,City227,805
City288,City505,836
City867,City971,644
City138,City944,372
City74,City16,463
City342,City636,17
City665,City408,251
City127,City643,644
City674,City744,889
City509,City868,899
City619,City398,358
City993,City171,624
City1000,City654,743
City820,City373,222
City361,City542,452
City884,City40,282
City651,City742,811
City624,City87,204
City74,City371,819
City807,City881,896
City58,City199,410
City682,City842,749
City934,City586,583
City839,City63,475
City913,City146,221
City596,City652,969
City83,City614,306
City915,City973,389
City687,City371,329
City500,City680,177
City543,City521,184
City294,City238,95
City785,City724,524
City242,City779,812
City737,City278,109
City641,City705,504
City789,City226,340
City206,City493,246
City188,City778,197
City783,City978,681
City326,City208,70
City83,City562,387
City609,City723,814
City291,City992,413
City352,City264,312
City879,City195,641
City184,City672,484
City228,City303,886
City793,City321,331
City28,City469,213
City675,City791,202
City121,City386,738
City843,City642,880
City248,City829,652
City927,City990,842
City768,City159,947
City713,City309,166
City983,City477,546
City512,City345,176
City986,City406,349
City868,City48,174
City602,City799,513
City639,City410,592
City273,City392,314
City706,City901,524
City985,City276,848
City395,City94,162
City601,City552,850
City980,City521,394
City484,City624,363
City146,City427,686
City4,City784,646
City929,City898,978
City791,City637,33
City587,City719,161
City336,City515,355
City683,City619,472
City595,City930,953
City745,City843,420
City589,City539,483
City996,City98,194
City673,City919,615
City974,City22,124
City466,City967,190
City301,City65,70
City465,City319,211
City665,City367,130
City877,City747,632
City501,City737,246
City512,City273,921
City797,City778,928
City297,City307,700
City666,City794,994
City400,City340,339
City57,City178,61
City266,City277,117
City102,City497,826
City817,City158,531
City422,City671,879
City957,City154,21
City809,City161,822
City4,City168,286
City616,City14,60
City356,City961,662
City437,City811,460
City88,City897,315
City675,City847,148
City613,City392,309
City499,City73,470
City669,City109,657
City281,City436,342
City123,City376,606
City177,City412,189
City765,City169,63
City711,City397,20
City84,City893,194
City12,City30,414
City835,City188,941
City433,City736,76
City26,City926,765
City953,City977,752
City547,City924,632
City600,City540,741
City774,City543,117
City612,City647,703
City32,City587,340
City495,City214,435
City623,City73,828
City362,City644,273
City597,City998,802
City516,City149,321
City105,City43,269
City489,City286,826
City274,City450,546
City337,City488,434
City241,City759,812
City752,City198,734
City784,City266,707
City991,City239,890
City517,City635,152
City533,City55,595
City471,City496,637
City804,City822,255
City169,City810,660
City11,City451,784
City852,City646,528
City434,City366,286
City613,City487,138
City172,City717,814
City288,City377,798
City947,City597,484
City378,City478,320
City522,City594,353
City907,City282,196
City812,City101,652
City821,City943,948
City605,City329,691
City928,City601,879
City749,City650,758
City914,City960,427
City769,City866,854
City961,City624,106
City795,City836,635
City322,City774,759
City360,City708,36
City874,City553,587
City731,City484,467
City536,City992,46
City638,City183,469
City747,City476,742
City906,City67,64
City685,City999,543
City101,City912,756
City367,City608,818
City630,City446,978
City572,City142,295
City414,City91,350
City161,City900,720
City955,City182,423
City848,City826,41
City241,City4,97
City702,City609,547
City555,City75,254
City755,City454,340
City731,City286,461
City581,City871,777
City781,City728,112
City400,City903,310
City339,City333,921
City714,City282,24
City169,City841,818
City216,City959,198
City392,City960,317
City258,City480,28
City6,City472,714
City114,City424,791
City873,City54,431
City976,City673,686
City711,City359,501
City100,City382,271
City234,City994,748
City926,City387,663
City665,City856,745
City24,City769,127
City79,City946,790
City415,City32,35
City474,City552,589
City528,City950,517
City159,City57,532
City745,City141,73
City886,City225,635
City50,City170,60
City399,City389,475
City399,City569,415
City140,City502,446
City599,City891,277
City913,City699,639
City428,City495,98
City864,City817,101
City445,City370,55
City960,City807,885
City916,City545,932
City876,City304,859
City837,City344,953
City786,City857,185
City211,City490,775
City41,City469,1
City200,City836,80
City842,City497,943
City144,City255,6
City876,City677,162
City795,City759,227
City208,City419,169
City61,City723,76
City710,City320,450
City386,City781,987
City447,City575,763
City709,City4,948
City772,City159,947
City729,City160,56
City505,City984,582
City31,City862,848
City8,City299,852
City717,City442,855
City354,City21,776
City953,City300,918
City555,City305,272
City130,City727,63
City799,City444,396
City141,City221,349
City367,City131,136
City863,City29,490
City393,City963,747
City296,City434,413
City957,City266,989
City597,City201,152
City508,City609,663
City489,City434,253
City128,City320,92
City165,City191,750
City462,City553,328
City151,City550,503
City836,City289,807
City79,City614,606
City741,City991,349
City835,City495,895
City15,City320,822
City407,City550,944
City224,City412,449
City755,City81,929
City146,City151,360
City866,City255,590
City305,City508,599
City536,City684,505
City604,City688,753
City975,City799,108
City845,City272,148
City567,City766,156
City571,City633,824
City930,City200,998
City961,City742,440
City139,City327,100
City456,City724,812
City931,City395,211
City491,City404,504
City524,City66,513
City702,City844,995
City739,City493,63
City17,City892,995
City760,City587,700
City727,City571,656
City222,City101,159
City192,City634,895
City407,City131,150
City868,City39,320
City653,City743,596
City204,City58,295
City476,City365,293
City118,City693,945
City579,City345,697
City144,City989,251
City71,City67,639
City214,City613,911
City601,City583,41
City786,City498,684
City631,City217,831
City869,City773,67
City724,City133,138
City726,City649,411
City868,City748,502
City9,City985,841
City593,City976,318
City460,City996,614
City947,City560,628
City926,City639,725
City3,City522,40
City304,City215,166
City130,City508,396
City932,City961,451
City452,City144,874
City573,City799,64
City59,City171,790
City938,City843,33
City424,City82,780
City766,City912,318
City669,City65,174
City767,City228,857
City737,City254,25
City25,City918,745
City389,City407,834
City761,City673,584
City787,City601,811
City953,City149,765
City116,City92,521
City669,City757,645
City240,City52,335
City160,City421,641
City713,City994,1000
City401,City700,72
City326,City719,483
City863,City374,66
City174,City897,887
City625,City174,513
City173,City821,931
City227,City690,875
City392,City123,769
City885,City648,816
City949,City851,10
City429,City208,427
City904,City68,872
City323,City62,503
City540,City303,325
City933,City741,691
City479,City4,303
City318,City301,505
City431,City257,451
City402,City46,203
City693,City524,99
City666,City660,726
City502,City8,873
City841,City681,320
City770,City338,825
City747,City370,230
City482,City636,306
City105,City170,572
City565,City434,451
City346,City618,823
City716,City267,514
City896,City153,353
City1,City691,374
City108,City842,428
City547,City450,699
City382,City881,764
City864,City314,187
City230,City699,314
City688,City706,481
City771,City740,723
City175,City165,542
City177,City659,369
City140,City501,936
City878,City507,994
City225,City591,483
City806,City454,380
City479,City836,220
City36,City586,280
City223,City676,445
City262,City811,846
City93,City735,856
City745,City465,432
City996,City393,265
City113,City82,435
City626,City368,496
City240,City238,487
City422,City739,992
City176,City474,136
City269,City51,625
City242,City62,362
City560,City57,786
City498,City992,607
City496,City574,720
City774,City922,9
City164,City952,302
City792,City620,841
City318,City322,727
City373,City287,677
City582,City986,670
City685,City157,473
City422,City507,340
City967,City703,193
City132,City802,832
City950,City212,618
City997,City282,259
City910,City828,647
City72,City920,697
City978,City446,934
City329,City69,235
City382,City19,458
City448,City29,770
City206,City266,348
City720,City863,310
City767,City509,267
City212,City787,445
City887,City506,876
City399,City497,50
City88,City257,603
City558,City788,473
City669,City615,41
City830,City205,324
City794,City902,117
City176,City428,729
City881,City28,842
City570,City331,900
City772,City45,885
City38,City748,252
City514,City684,734
City923,City338,755
City241,City300,921
City548,City621,77
City250,City839,531
City997,City981,704
City3,City678,82
City106,City886,835
City560,City999,258
City667,City391,130
City507,City278,374
City683,City132,292
City170,City929,474
City437,City524,15
City624,City427,662
City357,City940,715
City170,City295,422
City195,City566,18
City576,City885,584
City82,City519,529
City713,City754,805
City778,City857,795
City159,City295,144
City37,City946,385
City828,City59,757
City915,City844,80
City939,City933,208
City56,City63,692
City170,City818,316
City828,City429,601
City97,City981,384
City762,City509,339
City271,City175,836
City495,City431,474
City334,City219,396
City694,City768,467
City217,City998,282
City519,City786,137
City580,City533,193
City405,City661,747
City324,City416,66
City682,City359,174
City504,City486,228
City290,City699,588
City889,City1000,783
City562,City565,254
City120,City971,525
City324,City286,372
City872,City90,856
City104,City472,879
City209,City699,936
City188,City539,43
City329,City358,947
City191,City929,978
City289,City592,145
City820,City899,892
City281,City16,325
City417,City274,865
City734,City790,991
City623,City10,997
City633,City227,800
City445,City974,462
City807,City716,317
City792,City506,170
City625,City797,389
City424,City336,386
City218,City856,734
City53,City13,782
City707,City105,384
City627,City613,584
City932,City442,571
City388,City13,195
City624,City622,856
City142,City848,672
City315,City946,347
City470,City721,611
City762,City654,233
City681,City602,48
City835,City669,452
City929,City726,679
City255,City450,312
City114,City627,629
City939,City121,355
City311,City768,459
City230,City273,660
City466,City433,257
City179,City306,629
City701,City109,708
City112,City343,835
City754,City147,772
City14,City389,351
City383,City685,882
City461,City179,240
City731,City649,365
City742,City633,642
City103,City591,607
City449,City801,967
City267,City707,939
City568,City197,852
City797,City474,538
City226,City55,386
City514,City971,316
City44,City733,844
City361,City790,124
City208,City404,507
City836,City633,807
City993,City477,917
City548,City96,377
City648,City627,639
City544,City218,862
City508,City464,701
City197,City687,170
City150,City269,19
City415,City69,996
City171,City626,810
City304,City6,350
City398,City381,62
City200,City187,365
City578,City560,953
City617,City37,729
City863,City726,955
City176,City690,547
City889,City161,620
City383,City366,780
City924,City239,41
City263,City445,765
City704,City285,430
City44,City786,116
City246,City552,194
City660,City290,450
City536,City339,429
City889,City238,790
City755,City413,724
City394,City289,484
City768,City841,228
City447,City245,976
City228,City351,463
City324,City301,185
City713,City588,611
City129,City731,298
City583,City386,955
City716,City698,939
City510,City415,708
City262,City699,467
City874,City594,429
City993,City754,128
City748,City672,700
City810,City398,359
City350,City255,902
City102,City276,324
City561,City933,339
City436,City858,374
City961,City872,281
City926,City578,66
City732,City742,745
City275,City746,80
City593,City213,944
City13,City319,738
City402,City219,679
City683,City167,556
City39,City101,801
City73,City451,629
City984,City309,214
City852,City59,639
City737,City702,626
City952,City60,797
City178,City90,319
City122,City918,337
City227,City523,438
City147,City225,736
City663,City498,766
City368,City527,635
City531,City976,147
City359,City821,35
City798,City703,845
City678,City944,884
City101,City250,370
City748,City533,332
City129,City377,498
City465,City367,99
City563,City515,193
City262,City503,281
City205,City742,422
City26,City581,310
City698,City961,865
City513,City489,141
City196,City704,834
City552,City541,161
City218,City719,119
City464,City186,232
City135,City664,479
City135,City683,274
City933,City340,370
City974,City953,654
City451,City664,377
City771,City493,777
City162,City807,112
City950,City743,569
City647,City702,576
City126,City459,708
City982,City661,797
City628,City457,393
City415,City795,397
City61,City151,168
City751,City961,233
City846,City719,691
City288,City379,580
City353,City129,411
City934,City19,405
City661,City804,766
City537,City183,426
City314,City947,46
City527,City268,866
City13,City545,904
City762,City662,469
City55,City251,615
City431,City534,294
City244,City818,247
City723,City547,588
City8,City674,844
City881,City306,308
City334,City147,556
City285,City423,427
City317,City288,564
City86,City481,246
City582,City847,11
City21,City78,773
City40,City562,871
City313,City396,187
City321,City966,886
City986,City862,525
City214,City49,389
City179,City327,655
City764,City554,792
City661,City59,113
City500,City8,436
City56,City409,355
City198,City957,302
City704,City240,380
City365,City74,290
City519,City976,746
City384,City513,776
City781,City40,320
City728,City446,314
City687,City704,749
City911,City37,213
City427,City746,182
City822,City553,812
City659,City906,421
City372,City968,925
City575,City395,986
City489,City38,844
City180,City785,226
City322,City373,713
City526,City405,975
City25,City340,940
City942,City81,900
City782,City458,582
City299,City884,355
City345,City476,325
City969,City769,661
City357,City878,215
City273,City520,272
City920,City445,985
City318,City544,241
City991,City517,664
City14,City334,952
City50,City150,539
City875,City668,236
City977,City770,256
City297,City266,595
City556,City864,199
City820,City325,631
City712,City738,654
City818,City239,263
City695,City605,590
City39,City449,22
City97,City255,701
City541,City470,179
City540,City362,209
City315,City865,377
City724,City793,123
City75,City188,185
City775,City876,230
City309,City930,645
City944,City596,875
