source,destination,distance
City987,City988,483
City988,City989,481
City989,City990,910
City990,City991,743
City991,City992,23
City992,City993,136
City993,City994,712
City994,City995,74
City995,City996,793
City996,City997,53
City997,City998,852
City998,City999,347
City999,City1000,888
City223,City128,842
City577,City601,972
City323,City809,898
City404,City766,237
City65,City884,783
City437,City251,598
City165,City383,59
City951,City80,439
City924,City279,836
City884,City774,959
City725,City262,866
City485,City725,499
City612,City587,169
City866,City588,206
City213,City895,433
City554,City311,444
City915,City875,159
City424,City107,870
City417,City161,337
City238,City515,358
City802,City226,297
City367,City884,835
City291,City574,943
City940,City376,30
City601,City290,258
City1,City398,395
City949,City432,883
City899,City613,76
City125,City489,259
City986,City755,72
City707,City722,517
City609,City742,144
City151,City774,823
City91,City910,465
City827,City940,341
City251,City106,705
City292,City129,677
City926,City910,441
City299,City765,166
City842,City20,428
City445,City825,625
City541,City571,400
City765,City900,592
City473,City172,153
City109,City8,167
City285,City227,630
City345,City25,167
City146,City482,849
City617,City258,901
City536,City648,847
City975,City894,13
City838,City647,772
City88,City763,276
City735,City938,368
City552,City563,472
City652,City543,759
City176,City318,579
City342,City180,456
City304,City158,152
City241,City935,585
City993,City163,313
City145,City484,763
City369,City153,792
City446,City271,190
City114,City400,733
City868,City699,832
City71,City341,40
City696,City172,188
City557,City857,387
City736,City334,387
City468,City260,724
City657,City757,331
City977,City91,917
City392,City872,565
City393,City788,476
City109,City456,425
City427,City794,180
City275,City182,416
City296,City110,64
City903,City329,563
City976,City235,594
City52,City93,719
City632,City198,518
City483,City934,39
City603,City212,398
City637,City139,522
City893,City422,122
City973,City210,389
City663,City856,963
City714,City400,256
City347,City851,442
City422,City420,54
City177,City648,725
City737,City631,678
City192,City216,765
City655,City755,613
City756,City420,616
City870,City830,556
City59,City752,318
City823,City896,602
City745,City191,31
City620,City919,648
City389,City238,842
City767,City904,541
City434,City968,102
City568,City634,250
City331,City673,674
City334,City677,39
City234,City789,629
City23,City688,191
City37,City259,775
City551,City416,19
City804,City515,714
City664,City542,154
City110,City72,137
City775,City566,195
City950,City778,386
City804,City603,517
City600,City835,106
City803,City716,735
City953,City460,644
City833,City214,262
City651,City843,277
City438,City80,271
City863,City844,338
City117,City824,796
City130,City316,702
City177,City541,458
City305,City348,853
City463,City651,730
City755,City843,957
City131,City274,447
City411,City351,475
City857,City693,763
City921,City673,371
City545,City56,608
City933,City550,951
City633,City404,132
City343,City215,800
City176,City679,270
City175,City454,94
City222,City183,280
City172,City586,616
City534,City988,551
City985,City263,514
City512,City205,941
City261,City294,538
City310,City954,428
City958,City295,37
City96,City302,372
City724,City446,732
City587,City449,255
City44,City550,604
City430,City403,774
City347,City763,653
City733,City639,545
City449,City500,557
City410,City275,739
City381,City58,607
City399,City650,344
City245,City581,774
City681,City773,141
City370,City463,191
City162,City599,135
City375,City941,692
City24,City172,585
City220,City399,188
City2,City339,208
City790,City191,421
City15,City755,318
City43,City748,465
City646,City706,92
City254,City368,938
City668,City13,815
City697,City657,552
City198,City889,771
City811,City920,373
City168,City864,259
City539,City484,333
City374,City757,430
City350,City433,442
City894,City63,212
City141,City515,107
City240,City727,713
City42,City481,214
City111,City570,845
City680,City47,693
City758,City725,398
City219,City571,585
City723,City540,509
City139,City100,84
City757,City366,724
City467,City707,297
City354,City864,321
City748,City3,489
City518,City577,198
City498,City782,877
City952,City624,694
City74,City958,104
City486,City514,608
City840,City535,42
City894,City90,300
City785,City737,537
City462,City675,340
City593,City55,710
City204,City919,887
City360,City290,58
City125,City315,938
City917,City13,326
City612,City3,408
City354,City599,373
City121,City182,549
City98,City340,791
City74,City756,401
City415,City958,395
City390,City104,466
City824,City299,846
City399,City936,502
City566,City554,475
City334,City303,987
City896,City285,252
City541,City911,663
City234,City400,282
City199,City284,842
City337,City513,241
City244,City449,562
City711,City912,392
City635,City238,49
City967,City501,291
City683,City492,606
City471,City609,475
City369,City580,333
City105,City788,348
City777,City133,115
City733,City909,131
City114,City901,26
City382,City711,989
City187,City994,638
City757,City27,931
City742,City813,881
City781,City392,835
City208,City241,888
City190,City267,328
City669,City270,342
City799,City26,733
City463,City679,319
City502,City595,488
City585,City665,870
City234,City542,24
City562,City880,397
City633,City264,841
City41,City464,213
City412,City199,887
City443,City543,557
City805,City561,460
City690,City809,757
City417,City68,682
City877,City907,133
City773,City517,998
City727,City329,746
City251,City854,754
City493,City710,965
City704,City51,722
City552,City699,258
City828,City240,293
City702,City441,70
City604,City250,741
City7,City259,322
City305,City661,845
City52,City704,494
City197,City551,918
City253,City708,139
City221,City743,968
City152,City318,880
City69,City787,457
City596,City826,219
City80,City217,963
City418,City566,673
City855,City415,935
City702,City93,840
City932,City622,240
City444,City503,982
City396,City374,629
City579,City627,886
City900,City715,257
City74,City810,722
City320,City106,287
City801,City457,609
City577,City441,216
City31,City186,629
City842,City459,944
City876,City782,246
City801,City398,509
City987,City632,46
City887,City26,912
City902,City604,724
City620,City753,195
City600,City537,753
City450,City84,913
City352,City859,816
City693,City900,960
City700,City102,236
City3,City177,408
City39,City884,957
City595,City180,175
City736,City23,19
City537,City748,259
City834,City335,905
City274,City340,963
City582,City363,989
City548,City580,116
City784,City537,884
City138,City17,442
City553,City640,238
City436,City360,49
City752,City398,76
City955,City784,668
City958,City258,676
City528,City793,758
City472,City607,483
City291,City657,199
City144,City475,62
City163,City81,26
City479,City857,26
City645,City703,561
City352,City863,950
City778,City209,722
City751,City522,374
City519,City841,833
City643,City74,776
City195,City792,252
City19,City680,664
City278,City832,850
City814,City40,676
City11,City7,939
City663,City344,962
City513,City587,245
City84,City743,221
City238,City177,507
City733,City208,525
City936,City152,954
City120,City220,333
City387,City695,490
City28,City201,711
City80,City321,707
City861,City7,928
City4,City313,314
City771,City13,153
City310,City279,893
City210,City389,37
City39,City377,550
City156,City416,439
City732,City843,140
City507,City121,676
City588,City785,592
City316,City54,352
City212,City760,618
City417,City591,937
City708,City212,867
City88,City810,957
City495,City956,67
City459,City79,560
City322,City481,251
City898,City135,958
City961,City390,160
City871,City921,49
City433,City732,478
City465,City669,639
City788,City162,439
City704,City706,971
City194,City438,430
City799,City625,257
City703,City632,195
City19,City251,630
City455,City333,389
City492,City968,941
City338,City827,174
City324,City41,688
City633,City782,885
City481,City18,723
City888,City398,31
City394,City869,306
City555,City125,938
City408,City64,272
City464,City538,234
City667,City977,76
City169,City519,653
City263,City762,749
City745,City138,43
City850,City629,379
City409,City359,39
City859,City632,148
City881,City192,806
City324,City412,220
City780,City308,808
City578,City834,934
City713,City288,46
City378,City223,968
City97,City403,634
City113,City710,375
City312,City451,800
City753,City213,488
City302,City833,406
City269,City702,570
City978,City624,780
City684,City805,563
City516,City1000,474
City310,City460,281
City76,City315,111
City354,City273,251
City119,City178,604
City718,City82,604
City621,City32,664
City219,City143,838
City534,City675,446
City880,City978,147
City755,City657,292
City150,City118,913
City61,City120,63
City508,City207,774
City65,City123,401
City934,City851,336
City365,City158,595
City158,City935,504
City65,City655,596
City227,City14,128
City109,City805,48
City423,City207,804
City371,City837,640
City988,City85,13
City519,City618,821
City980,City776,823
City865,City435,652
City521,City612,472
City729,City883,520
City763,City363,429
City437,City692,710
City598,City862,898
City751,City725,492
City677,City638,640
City985,City549,762
City899,City587,372
City292,City718,978
City106,City890,969
City113,City897,719
City423,City934,94
City175,City280,43
City827,City257,693
City56,City911,269
City535,City933,952
City336,City294,667
City797,City103,309
City23,City954,46
City987,City292,885
City467,City629,660
City973,City523,734
City571,City906,64
City112,City712,855
City583,City716,984
City20,City210,302
City657,City768,22
City548,City480,68
City411,City125,703
City75,City803,214
City975,City341,377
City616,City989,867
City88,City301,76
City20,City365,425
City320,City758,986
City501,City930,897
City703,City934,573
City333,City175,508
City99,City403,588
City7,City556,489
City448,City420,861
City479,City834,21
City241,City767,89
City871,City151,586
City448,City85,615
City684,City6,978
City362,City521,81
City307,City685,522
City966,City706,457
City624,City839,39
City339,City97,513
City969,City499,767
City993,City50,227
City182,City235,89
City662,City414,639
City217,City834,974
City440,City511,707
City514,City834,1
City918,City419,176
City457,City598,173
City63,City217,527
City742,City210,384
City613,City897,122
City394,City735,714
City466,City926,406
City109,City565,9
City828,City751,4
City137,City507,846
City552,City428,267
City357,City896,918
City822,City799,568
City912,City468,484
City654,City878,503
City481,City122,625
City50,City754,89
City43,City787,403
City198,City50,393
City404,City382,59
City100,City682,414
City424,City24,986
City843,City556,293
City537,City422,722
City223,City207,426
City750,City188,266
City275,City499,975
City399,City253,660
City169,City299,814
City887,City537,242
City507,City722,128
City945,City178,760
City509,City935,767
City177,City301,706
City875,City724,506
City908,City658,826
City763,City92,75
City359,City58,468
City611,City314,937
City443,City607,86
City946,City665,972
City450,City650,283
City532,City459,978
City453,City264,489
City810,City716,420
City86,City785,446
City396,City171,813
City256,City769,141
City3,City295,871
City396,City908,235
City342,City293,741
City85,City163,461
City345,City866,947
City925,City117,847
City84,City478,871
City764,City647,986
City124,City797,773
City249,City797,627
City941,City453,669
City570,City896,69
City322,City755,217
City110,City773,346
City980,City344,111
City450,City466,572
City602,City260,358
City692,City74,478
City480,City954,166
City552,City19,258
City79,City234,108
City788,City843,777
City529,City961,262
City416,City236,575
City407,City491,667
City175,City418,727
City638,City36,207
City61,City428,718
City86,City654,313
City412,City812,896
City288,City888,511
City599,City153,901
City475,City823,192
City75,City350,293
City114,City179,710
City597,City884,622
City597,City789,298
City823,City510,993
City384,City929,487
City728,City872,755
City394,City308,185
City337,City162,927
City753,City492,663
City992,City399,873
City765,City741,231
City590,City135,643
City731,City368,396
City304,City434,947
City155,City610,271
City465,City617,568
City649,City756,916
City990,City218,654
City210,City62,943
City133,City403,49
City851,City853,960
City246,City544,317
City654,City641,195
City443,City683,437
City163,City955,604
City740,City102,522
City376,City426,863
City946,City125,90
City999,City158,965
City304,City263,917
City444,City854,488
City3,City289,42
City632,City139,807
City732,City330,625
City926,City294,248
City947,City427,660
City991,City64,969
City746,City174,497
City578,City373,660
City180,City510,114
City990,City591,894
City906,City338,401
City222,City975,188
City484,City541,72
City314,City887,362
City416,City509,584
City621,City869,887
City358,City22,301
City395,City661,718
City482,City29,579
City953,City318,55
City7,City573,106
City277,City561,281
City16,City695,36
City445,City280,360
City728,City938,143
City295,City133,701
City940,City698,474
City357,City533,601
City946,City302,790
City78,City192,66
City857,City351,762
City428,City497,525
City704,City160,424
City605,City936,10
City385,City521,10
City57,City800,138
City862,City408,317
City195,City894,57
City471,City61,741
City707,City687,694
City680,City369,258
City512,City876,758
City474,City510,277
City299,City395,161
City846,City615,287
City229,City853,416
City471,City249,835
City504,City966,742
City439,City506,841
City538,City338,223
City875,City159,877
City818,City797,428
City382,City660,867
City776,City578,540
City721,City462,500
City63,City332,146
City500,City912,165
City710,City435,52
City248,City889,506
City460,City19,133
City282,City160,970
City483,City733,741
City255,City525,252
City34,City558,424
City91,City829,759
City12,City935,261
City805,City682,743
City771,City59,593
City872,City178,790
City828,City378,432
City86,City411,280
City896,City126,781
City437,City206,970
City375,City610,6
City792,City444,700
City785,City272,952
City658,City437,829
City498,City548,791
City45,City974,638
City152,City29,685
City220,City937,166
City266,City120,972
City972,City65,871
City441,City932,125
City714,City834,133
City774,City953,76
City560,City950,825
City938,City650,615
City373,City95,472
City347,City698,472
City801,City326,733
City908,City351,844
City424,City449,791
City99,City777,596
City929,City773,307
City876,City257,412
City317,City603,611
City481,City169,650
City782,City124,416
City960,City391,18
City784,City7,718
City213,City799,524
City861,City942,593
City897,City749,375
City526,City888,531
City376,City239,638
City312,City449,438
City297,City134,559
City541,City360,246
City228,City783,573
City678,City407,99
City769,City135,485
City640,City21,53
City755,City762,961
City288,City426,377
City851,City864,197
City482,City797,541
City321,City935,587
City884,City601,194
City271,City941,830
City120,City627,849
City247,City48,635
City202,City947,234
City796,City818,984
City212,City789,237
City86,City296,496
City331,City758,201
City309,City493,920
City316,City236,705
City942,City436,692
City457,City435,293
City861,City621,918
City442,City534,369
City473,City67,908
City481,City649,22
City977,City776,801
City893,City924,648
City439,City848,722
City900,City931,841
City440,City34,936
City966,City572,668
City800,City476,144
City461,City856,70
